"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","202","Should id be a number","","2026-06-30","passed","2026-06-30","","Create a new event [Zod: CreateEventInput]","https://api.eventhub.rahulshettyacademy.com/api/events",""
"","236","Should return a token","","2026-06-30","passed","2026-06-30","","Register a new user [Zod: AuthInput + AuthResponse]","https://api.eventhub.rahulshettyacademy.com/api/auth/register",""
"","434","Should return a token","","2026-06-30","passed","2026-06-30","","Log in with existing credentials","https://api.eventhub.rahulshettyacademy.com/api/auth/login",""
"","236","AuthInput schema matches AuthInput contract","","2026-06-30","passed","2026-06-30","","Register a new user [Zod: AuthInput + AuthResponse]","https://api.eventhub.rahulshettyacademy.com/api/auth/register",""
"","244","Booking schema matches Booking contract","","2026-06-30","passed","2026-06-30","","Get a single booking by ID [Zod: Booking]","https://api.eventhub.rahulshettyacademy.com/api/bookings/73102",""
"","331","Should return status code 200","","2026-06-30","passed","2026-06-30","","Delete an event","https://api.eventhub.rahulshettyacademy.com/api/events/68500",""
"","236","Should return 201 Created","","2026-06-30","passed","2026-06-30","","Register a new user [Zod: AuthInput + AuthResponse]","https://api.eventhub.rahulshettyacademy.com/api/auth/register",""
"","203","Should return event id","","2026-06-30","passed","2026-06-30","","Get a single event by ID [Zod: Event]","https://api.eventhub.rahulshettyacademy.com/api/events/68500",""
"","179","Should return an object","","2026-06-30","passed","2026-06-30","","Create a booking (buy tickets) [Zod: CreateBookingInput]","https://api.eventhub.rahulshettyacademy.com/api/bookings",""
"","256","Should return an array of items","","2026-06-30","passed","2026-06-30","","List all bookings","https://api.eventhub.rahulshettyacademy.com/api/bookings",""
"","233","Should return status code 200","","2026-06-30","passed","2026-06-30","","Look up a booking by reference code","https://api.eventhub.rahulshettyacademy.com/api/bookings/ref/P-ZLPSFK",""
"","230","Should return currently authenticated user email","","2026-06-30","passed","2026-06-30","","Get the currently authenticated user [Zod: MeResponse]","https://api.eventhub.rahulshettyacademy.com/api/auth/me",""
"","371","Should return showExploreLinks property","","2026-06-30","passed","2026-06-30","","Get public feature flags","https://api.eventhub.rahulshettyacademy.com/api/config",""
"","384","Should return updated successfully message","","2026-06-30","passed","2026-06-30","","Update an event","https://api.eventhub.rahulshettyacademy.com/api/events/68500",""
"","203","Event schema matches Event contract","","2026-06-30","passed","2026-06-30","","Get a single event by ID [Zod: Event]","https://api.eventhub.rahulshettyacademy.com/api/events/68500",""
"","243","Should return an array of items","","2026-06-30","passed","2026-06-30","","List all events","https://api.eventhub.rahulshettyacademy.com/api/events",""
"","244","Should return booking id","","2026-06-30","passed","2026-06-30","","Get a single booking by ID [Zod: Booking]","https://api.eventhub.rahulshettyacademy.com/api/bookings/73102",""
"","256","Should return status code 200","","2026-06-30","passed","2026-06-30","","List all bookings","https://api.eventhub.rahulshettyacademy.com/api/bookings",""
"","230","Should return status code 200","","2026-06-30","passed","2026-06-30","","Get the currently authenticated user [Zod: MeResponse]","https://api.eventhub.rahulshettyacademy.com/api/auth/me",""
"","179","Should return 201 Created","","2026-06-30","passed","2026-06-30","","Create a booking (buy tickets) [Zod: CreateBookingInput]","https://api.eventhub.rahulshettyacademy.com/api/bookings",""
"","256","Should contain a valid pagination","","2026-06-30","passed","2026-06-30","","List all bookings","https://api.eventhub.rahulshettyacademy.com/api/bookings",""
"","233","Should return confirmed status","","2026-06-30","passed","2026-06-30","","Look up a booking by reference code","https://api.eventhub.rahulshettyacademy.com/api/bookings/ref/P-ZLPSFK",""
"","203","Should event total seats be greater than 0","","2026-06-30","passed","2026-06-30","","Get a single event by ID [Zod: Event]","https://api.eventhub.rahulshettyacademy.com/api/events/68500",""
"","179","Should id be a number","","2026-06-30","passed","2026-06-30","","Create a booking (buy tickets) [Zod: CreateBookingInput]","https://api.eventhub.rahulshettyacademy.com/api/bookings",""
